epoch,A,B,alpha
1,1.050044298171997,1.6419416666030884,40.17697525024414
2,1.050044298171997,1.6419416666030884,40.26179504394531
3,1.050044298171997,1.6419416666030884,40.34661102294922
4,1.050044298171997,1.6419416666030884,40.43143081665039
5,1.050044298171997,1.6419416666030884,40.51625061035156
6,1.050044298171997,1.6419416666030884,40.60106658935547
7,1.050044298171997,1.6419416666030884,40.68588638305664
8,1.050044298171997,1.6419416666030884,40.77070617675781
9,1.050044298171997,1.6419416666030884,40.85552215576172
10,1.050044298171997,1.6419416666030884,40.94034194946289
11,1.050044298171997,1.6419416666030884,41.02516174316406
12,1.050044298171997,1.6419416666030884,41.10997772216797
13,1.050044298171997,1.6419416666030884,41.19479751586914
14,1.050044298171997,1.6419416666030884,41.27961730957031
15,1.050044298171997,1.6419416666030884,41.36443328857422
16,1.050044298171997,1.6419416666030884,41.44925308227539
17,1.050044298171997,1.6419416666030884,41.53407287597656
18,1.050044298171997,1.6419416666030884,41.61888885498047
19,1.050044298171997,1.6419416666030884,41.70370864868164
20,1.050044298171997,1.6419416666030884,41.78852844238281
21,1.050044298171997,1.6419416666030884,41.87334442138672
22,1.050044298171997,1.6419416666030884,41.958160400390625
23,1.050044298171997,1.6419416666030884,42.04298400878906
24,1.050044298171997,1.6419416666030884,42.12779998779297
25,1.050044298171997,1.6419416666030884,42.212615966796875
26,1.050044298171997,1.6419416666030884,42.29743957519531
27,1.050044298171997,1.6419416666030884,42.38225555419922
28,1.050044298171997,1.6419416666030884,42.467071533203125
29,1.050044298171997,1.6419416666030884,42.5518913269043
30,1.050044298171997,1.6419416666030884,42.63671112060547
31,1.050044298171997,1.6419416666030884,42.721527099609375
32,1.050044298171997,1.6419416666030884,42.80634689331055
33,1.050044298171997,1.6419416666030884,42.89116668701172
34,1.050044298171997,1.6419416666030884,42.975982666015625
35,1.050044298171997,1.6419416666030884,43.0608024597168
36,1.050044298171997,1.6419416666030884,43.14562225341797
37,1.050044298171997,1.6419416666030884,43.230438232421875
38,1.050044298171997,1.6419416666030884,43.31525802612305
39,1.050044298171997,1.6419416666030884,43.40007781982422
40,1.050044298171997,1.6419416666030884,43.484893798828125
41,1.050044298171997,1.6419416666030884,43.5697135925293
42,1.050044298171997,1.6419416666030884,43.65453338623047
43,1.050044298171997,1.6419416666030884,43.739349365234375
44,1.050044298171997,1.6419416666030884,43.82416915893555
45,1.050044298171997,1.6419416666030884,43.90898895263672
46,1.050044298171997,1.6419416666030884,43.993804931640625
47,1.050044298171997,1.6419416666030884,44.0786247253418
48,1.050044298171997,1.6419416666030884,44.16344451904297
49,1.050044298171997,1.6419416666030884,44.248260498046875
50,1.050044298171997,1.6419416666030884,44.33308029174805
51,1.050044298171997,1.6419416666030884,44.41790008544922
52,1.050044298171997,1.6419416666030884,44.502716064453125
53,1.050044298171997,1.6419416666030884,44.58753204345703
54,1.050044298171997,1.6419416666030884,44.67235565185547
55,1.050044298171997,1.6419416666030884,44.757171630859375
56,1.050044298171997,1.6419416666030884,44.84198760986328
57,1.050044298171997,1.6419416666030884,44.92680740356445
58,1.050044298171997,1.6419416666030884,45.011619567871094
59,1.050044298171997,1.6419416666030884,45.096431732177734
60,1.050044298171997,1.6419416666030884,45.18124008178711
61,1.050044298171997,1.6419416666030884,45.26604461669922
62,1.050044298171997,1.6419416666030884,45.35084533691406
63,1.050044298171997,1.6419416666030884,45.435638427734375
64,1.050044298171997,1.6419416666030884,45.52043151855469
65,1.050044298171997,1.6419416666030884,45.60521697998047
66,1.050044298171997,1.6419416666030884,45.68999481201172
67,1.050044298171997,1.6419416666030884,45.77476501464844
68,1.050044298171997,1.6419416666030884,45.859535217285156
69,1.050044298171997,1.6419416666030884,45.94429397583008
70,1.050044298171997,1.6419416666030884,46.02904510498047
71,1.050044298171997,1.6419416666030884,46.11379623413086
72,1.050044298171997,1.6419416666030884,46.19853591918945
73,1.050044298171997,1.6419416666030884,46.28327178955078
74,1.050044298171997,1.6419416666030884,46.36799621582031
75,1.050044298171997,1.6419416666030884,46.452720642089844
76,1.050044298171997,1.6419416666030884,46.53742980957031
77,1.050044298171997,1.6419416666030884,46.62213897705078
78,1.050044298171997,1.6419416666030884,46.70684051513672
79,1.050044298171997,1.6419416666030884,46.79153060913086
80,1.050044298171997,1.6419416666030884,46.87621307373047
81,1.050044298171997,1.6419416666030884,46.96089553833008
82,1.050044298171997,1.6419416666030884,47.04556655883789
83,1.050044298171997,1.6419416666030884,47.13022994995117
84,1.050044298171997,1.6419416666030884,47.21488952636719
85,1.050044298171997,1.6419416666030884,47.299537658691406
86,1.050044298171997,1.6419416666030884,47.384185791015625
87,1.050044298171997,1.6419416666030884,47.46881866455078
88,1.050044298171997,1.6419416666030884,47.55345153808594
89,1.050044298171997,1.6419416666030884,47.63807678222656
90,1.050044298171997,1.6419416666030884,47.72269058227539
91,1.050044298171997,1.6419416666030884,47.80730056762695
92,1.050044298171997,1.6419416666030884,47.89190673828125
93,1.050044298171997,1.6419416666030884,47.97650146484375
94,1.050044298171997,1.6419416666030884,48.06108856201172
95,1.050044298171997,1.6419416666030884,48.14567565917969
96,1.050044298171997,1.6419416666030884,48.23025131225586
97,1.050044298171997,1.6419416666030884,48.3148193359375
98,1.050044298171997,1.6419416666030884,48.39938735961914
99,1.050044298171997,1.6419416666030884,48.483943939208984
100,1.050044298171997,1.6419416666030884,48.56849670410156
101,1.050044298171997,1.6419416666030884,48.653038024902344
102,1.050044298171997,1.6419416666030884,48.737579345703125
103,1.050044298171997,1.6419416666030884,48.822113037109375
104,1.050044298171997,1.6419416666030884,48.906639099121094
105,1.050044298171997,1.6419416666030884,48.99115753173828
106,1.050044298171997,1.6419416666030884,49.0756721496582
107,1.050044298171997,1.6419416666030884,49.160179138183594
108,1.050044298171997,1.6419416666030884,49.24468231201172
109,1.050044298171997,1.6419416666030884,49.32917785644531
110,1.050044298171997,1.6419416666030884,49.413665771484375
111,1.050044298171997,1.6419416666030884,49.49815368652344
112,1.050044298171997,1.6419416666030884,49.58263397216797
113,1.050044298171997,1.6419416666030884,49.66710662841797
114,1.050044298171997,1.6419416666030884,49.75157165527344
115,1.050044298171997,1.6419416666030884,49.836029052734375
116,1.050044298171997,1.6419416666030884,49.92048645019531
117,1.050044298171997,1.6419416666030884,50.00493240356445
118,1.050044298171997,1.6419416666030884,50.089378356933594
119,1.050044298171997,1.6419416666030884,50.1738166809082
120,1.050044298171997,1.6419416666030884,50.25824737548828
121,1.050044298171997,1.6419416666030884,50.342674255371094
122,1.050044298171997,1.6419416666030884,50.42709732055664
123,1.050044298171997,1.6419416666030884,50.511512756347656
124,1.050044298171997,1.6419416666030884,50.595924377441406
125,1.050044298171997,1.6419416666030884,50.680328369140625
126,1.050044298171997,1.6419416666030884,50.76472854614258
127,1.050044298171997,1.6419416666030884,50.84912109375
128,1.050044298171997,1.6419416666030884,50.933509826660156
129,1.050044298171997,1.6419416666030884,51.01789855957031
130,1.050044298171997,1.6419416666030884,51.102272033691406
131,1.050044298171997,1.6419416666030884,51.1866455078125
132,1.050044298171997,1.6419416666030884,51.27101516723633
133,1.050044298171997,1.6419416666030884,51.355377197265625
134,1.050044298171997,1.6419416666030884,51.439735412597656
135,1.050044298171997,1.6419416666030884,51.524085998535156
136,1.050044298171997,1.6419416666030884,51.608436584472656
137,1.050044298171997,1.6419416666030884,51.692779541015625
138,1.050044298171997,1.6419416666030884,51.77711486816406
139,1.050044298171997,1.6419416666030884,51.861446380615234
140,1.050044298171997,1.6419416666030884,51.945777893066406
141,1.050044298171997,1.6419416666030884,52.03009796142578
142,1.050044298171997,1.6419416666030884,52.11441421508789
143,1.050044298171997,1.6419416666030884,52.19873046875
144,1.050044298171997,1.6419416666030884,52.28303527832031
145,1.050044298171997,1.6419416666030884,52.367340087890625
146,1.050044298171997,1.6419416666030884,52.451637268066406
147,1.050044298171997,1.6419416666030884,52.535926818847656
148,1.050044298171997,1.6419416666030884,52.62022018432617
149,1.050044298171997,1.6419416666030884,52.704505920410156
150,1.050044298171997,1.6419416666030884,52.788780212402344
151,1.050044298171997,1.6419416666030884,52.87305450439453
152,1.050044298171997,1.6419416666030884,52.95732498168945
153,1.050044298171997,1.6419416666030884,53.041587829589844
154,1.050044298171997,1.6419416666030884,53.12584686279297
155,1.050044298171997,1.6419416666030884,53.210105895996094
156,1.050044298171997,1.6419416666030884,53.29435729980469
157,1.050044298171997,1.6419416666030884,53.378604888916016
158,1.050044298171997,1.6419416666030884,53.46284484863281
159,1.050044298171997,1.6419416666030884,53.547080993652344
160,1.050044298171997,1.6419416666030884,53.631317138671875
161,1.050044298171997,1.6419416666030884,53.715545654296875
162,1.050044298171997,1.6419416666030884,53.79977035522461
163,1.050044298171997,1.6419416666030884,53.88398742675781
164,1.050044298171997,1.6419416666030884,53.968204498291016
165,1.050044298171997,1.6419416666030884,54.05241394042969
166,1.050044298171997,1.6419416666030884,54.136619567871094
167,1.050044298171997,1.6419416666030884,54.220821380615234
168,1.050044298171997,1.6419416666030884,54.305015563964844
169,1.050044298171997,1.6419416666030884,54.38921356201172
170,1.050044298171997,1.6419416666030884,54.47340393066406
171,1.050044298171997,1.6419416666030884,54.557586669921875
172,1.050044298171997,1.6419416666030884,54.64176559448242
173,1.050044298171997,1.6419416666030884,54.7259407043457
174,1.050044298171997,1.6419416666030884,54.81011199951172
175,1.050044298171997,1.6419416666030884,54.89427947998047
176,1.050044298171997,1.6419416666030884,54.97844696044922
177,1.050044298171997,1.6419416666030884,55.06260299682617
178,1.050044298171997,1.6419416666030884,55.146759033203125
179,1.050044298171997,1.6419416666030884,55.23090744018555
180,1.050044298171997,1.6419416666030884,55.31505584716797
181,1.050044298171997,1.6419416666030884,55.39919662475586
182,1.050044298171997,1.6419416666030884,55.483333587646484
183,1.050044298171997,1.6419416666030884,55.56747055053711
184,1.050044298171997,1.6419416666030884,55.6515998840332
185,1.050044298171997,1.6419416666030884,55.73572540283203
186,1.050044298171997,1.6419416666030884,55.819847106933594
187,1.050044298171997,1.6419416666030884,55.90396499633789
188,1.050044298171997,1.6419416666030884,55.98807907104492
189,1.050044298171997,1.6419416666030884,56.07218933105469
190,1.050044298171997,1.6419416666030884,56.15629959106445
191,1.050044298171997,1.6419416666030884,56.24040222167969
192,1.050044298171997,1.6419416666030884,56.32449722290039
193,1.050044298171997,1.6419416666030884,56.408592224121094
