epoch,nec,wec,dec,sec,nec_margin_soft,wec_margin_soft,dec_margin_soft,sec_margin_soft
1,30.263158798217773,30.263158798217773,10.526315689086914,56.57894515991211,-0.0013716953108087182,-0.0013726011384278536,-0.003910823725163937,0.002533601364120841
2,35.52631378173828,35.52631378173828,9.210526466369629,61.84210968017578,-0.0010440022451803088,-0.0010442904895171523,-0.003633183194324374,0.003693710081279278
3,38.157894134521484,38.157894134521484,26.3157901763916,52.6315803527832,-0.0026698929723352194,-0.0026706689968705177,-0.004011919256299734,-0.0025441062171012163
4,30.263158798217773,30.263158798217773,14.473684310913086,48.02631378173828,-0.001963280141353607,-0.0019640023820102215,-0.005256712436676025,0.002849004464223981
5,33.55263137817383,33.55263137817383,15.131579399108887,53.94737243652344,-0.0021743117831647396,-0.0021749900188297033,-0.004189913161098957,-0.00014146315515972674
6,36.842105865478516,36.842105865478516,18.421052932739258,66.44737243652344,-0.0007078660419210792,-0.0007083052769303322,-0.0023734397254884243,0.0028846811037510633
7,33.55263137817383,33.55263137817383,3.9473681449890137,65.13158416748047,-0.0022944144438952208,-0.0022947692777961493,-0.00551160192117095,0.0028292841743677855
8,32.23684310913086,32.23684310913086,13.1578950881958,61.184207916259766,-0.0012265632394701242,-0.0012270568404346704,-0.004036644473671913,0.0034613178577274084
9,30.263158798217773,30.263158798217773,17.105262756347656,44.73684310913086,-0.0022621655371040106,-0.002262480789795518,-0.004154773894697428,-0.0010632857447490096
10,32.23684310913086,32.23684310913086,1.9736840724945068,61.84210968017578,-0.001913611893542111,-0.0019140595104545355,-0.004651275463402271,0.0020130143966525793
11,35.52631378173828,35.52631378173828,6.5789475440979,63.815792083740234,-0.0009465286275371909,-0.0009469591896049678,-0.006831157486885786,0.010314702056348324
12,27.63157844543457,27.63157844543457,9.86842155456543,51.315792083740234,-0.0009818351827561855,-0.0009821662679314613,-0.003588702529668808,0.0036505619063973427
13,32.894737243652344,32.894737243652344,17.105262756347656,41.44736862182617,-0.0017699087038636208,-0.0017702429322525859,-0.0030762339010834694,-0.0014527218881994486
14,40.78947448730469,40.78947448730469,24.342103958129883,67.76315307617188,-0.00024525198386982083,-0.00024571066023781896,-0.0024241784121841192,0.004727447405457497
15,32.894737243652344,32.894737243652344,0.6578947305679321,55.26315689086914,-0.003070230595767498,-0.0030707335099577904,-0.00601622648537159,0.0001341217284789309
16,43.42105484008789,43.42105484008789,21.710527420043945,78.94737243652344,-0.00034557259641587734,-0.00034599853097461164,-0.0026282076723873615,0.005394148174673319
17,32.23684310913086,32.23684310913086,15.789472579956055,55.26315689086914,-0.0017195189138874412,-0.0017200622241944075,-0.0036886814050376415,0.0007021409110166132
18,31.57894515991211,31.57894515991211,13.1578950881958,65.13158416748047,-0.0009094999986700714,-0.0009097963920794427,-0.003280945122241974,0.003832196118310094
19,39.47368621826172,39.47368621826172,13.815789222717285,71.05262756347656,-0.0006295071798376739,-0.0006300695822574198,-0.003079291433095932,0.00459238700568676
20,32.894737243652344,32.894737243652344,9.86842155456543,52.6315803527832,-0.0017966942396014929,-0.0017972808564081788,-0.003975085448473692,0.0010763409081846476
21,25.0,25.0,20.394737243652344,42.105262756347656,-0.0008978379191830754,-0.000898247875738889,-0.0015110354870557785,-0.001071671606041491
22,26.97368621826172,26.97368621826172,6.5789475440979,58.55262756347656,-0.0019838956650346518,-0.001984321279451251,-0.004007759969681501,0.0006068750517442822
23,33.55263137817383,33.55263137817383,10.526315689086914,71.05262756347656,-0.0014762855134904385,-0.0014770348789170384,-0.0059354002587497234,0.006975686177611351
24,35.52631378173828,35.52631378173828,11.842105865478516,56.57894515991211,-0.002067224122583866,-0.0020677729044109583,-0.004209927283227444,0.0005132249207235873
25,36.842105865478516,36.842105865478516,13.815789222717285,55.92105484008789,-0.001724396599456668,-0.001725045032799244,-0.004686513915657997,0.0028511628042906523
26,26.3157901763916,26.3157901763916,9.210526466369629,52.6315803527832,-0.0012627249816432595,-0.0012633656151592731,-0.0024670239072293043,-0.00013170296733733267
27,28.947368621826172,28.947368621826172,9.86842155456543,46.71052551269531,-0.001500253682024777,-0.0015008861664682627,-0.004590307362377644,0.003100735368207097
28,28.289472579956055,28.289472579956055,11.184210777282715,40.13157653808594,-0.0012514336267486215,-0.001251661917194724,-0.002720138058066368,1.8065195035887882e-05
29,37.5,37.5,17.105262756347656,65.78947448730469,-0.0018275725888088346,-0.0018280850490555167,-0.004506521392613649,0.0023941663093864918
30,32.23684310913086,32.23684310913086,3.9473681449890137,60.52631759643555,-0.0016776081174612045,-0.0016782208112999797,-0.004898539744317532,0.003516001859679818
31,31.57894515991211,31.57894515991211,8.552631378173828,53.94737243652344,-0.0016004351200535893,-0.0016008780803531408,-0.0038770786486566067,0.0014866678975522518
32,29.605262756347656,29.605262756347656,9.210526466369629,58.55262756347656,-0.0007773556862957776,-0.000777981651481241,-0.0031219006050378084,0.0035284722689539194
33,34.21052551269531,34.21052551269531,15.789472579956055,59.21052551269531,-0.0009649274288676679,-0.0009656789479777217,-0.0035756207071244717,0.0038872910663485527
34,26.3157901763916,26.3157901763916,15.789472579956055,40.78947448730469,-0.003184085013344884,-0.003184753470122814,-0.004421983379870653,-0.004456950351595879
35,34.21052551269531,34.21052551269531,0.0,60.52631759643555,-0.0008106652530841529,-0.0008113515214063227,-0.003601103089749813,0.00469987140968442
36,32.23684310913086,32.23684310913086,3.28947377204895,57.23684310913086,-0.0011274652788415551,-0.0011282566701993346,-0.004443681333214045,0.004792087245732546
37,38.157894134521484,38.157894134521484,9.210526466369629,69.73684692382812,-0.0014373848680406809,-0.0014377956977114081,-0.003867504419758916,0.0031736306846141815
38,28.947368621826172,28.947368621826172,5.263157844543457,43.42105484008789,-0.002081675687804818,-0.002082373481243849,-0.004684904590249062,0.0010770055232569575
39,34.86842346191406,34.86842346191406,15.789472579956055,61.184207916259766,-0.0013048663968220353,-0.0013054909650236368,-0.0029416922479867935,0.0011946398299187422
40,37.5,37.5,11.184210777282715,61.184207916259766,-0.0008701705955900252,-0.0008708511595614254,-0.003584641730412841,0.004249254707247019
41,27.63157844543457,27.63157844543457,8.552631378173828,59.21052551269531,-0.0014267958467826247,-0.0014275372959673405,-0.003241348545998335,0.0014441258972510695
42,30.92105484008789,30.92105484008789,9.86842155456543,67.76315307617188,-0.0017008389113470912,-0.0017014452023431659,-0.004949887283146381,0.003935611341148615
43,23.026315689086914,23.026315689086914,7.894736289978027,45.394737243652344,-0.002520299516618252,-0.0025208850856870413,-0.00436975946649909,-0.0015805511502549052
44,30.263158798217773,30.263158798217773,14.473684310913086,53.94737243652344,-0.0013707205653190613,-0.0013713010121136904,-0.002858860418200493,0.0005839712102897465
45,36.184207916259766,36.184207916259766,10.526315689086914,43.42105484008789,-0.0015183768700808287,-0.0015187246026471257,-0.00452637393027544,0.0030599923338741064
46,36.842105865478516,36.842105865478516,22.36842155456543,59.21052551269531,-0.0018879451090469956,-0.0018883665325120091,-0.004428299143910408,0.0016661612316966057
