epoch,total_loss,physics_loss,reg_breach,inv_alpha,E_soft_%,shear_pen
56,19830.171875,1.0637531877761858e-14,19807.87890625,22.292604446411133,15.074047446250916,0.0
57,19675.96875,6.328491892446152e-15,19653.71875,22.250530242919922,15.019172430038452,0.0
58,19526.599609375,1.8521832288384554e-14,19504.390625,22.2086181640625,14.965812861919403,0.0
59,19398.892578125,2.506737044433399e-15,19376.7265625,22.1668643951416,14.920032024383545,0.0
60,19282.05859375,4.033985517452659e-15,19259.93359375,22.125263214111328,14.878016710281372,0.0
61,19156.609375,5.390504547315685e-15,19134.525390625,22.083820343017578,14.832760393619537,0.0
62,19019.072265625,4.759864801162335e-15,18997.029296875,22.04253387451172,14.782971143722534,0.0
63,18877.232421875,6.422685767829093e-15,18855.23046875,22.00139808654785,14.731435477733612,0.0
64,18746.681640625,8.757040807826164e-15,18724.720703125,21.960416793823242,14.683830738067627,0.0
65,18626.994140625,8.852699626691381e-15,18605.07421875,21.91958999633789,14.640042185783386,0.0
66,18502.916015625,9.519195124534953e-15,18481.037109375,21.8789119720459,14.59449827671051,0.0
67,18374.03515625,4.200719717954932e-15,18352.197265625,21.8383846282959,14.54702913761139,0.0
68,18250.31640625,3.802902647463951e-15,18228.517578125,21.798009872436523,14.501303434371948,0.0
69,18131.126953125,9.78671608136512e-15,18109.369140625,21.757781982421875,14.457106590270996,0.0
70,18007.673828125,1.909653059056944e-14,17985.95703125,21.717702865600586,14.41117376089096,0.0
71,17882.556640625,6.942918580956107e-15,17860.87890625,21.677770614624023,14.364460110664368,0.0
72,17765.900390625,4.400990917454318e-15,17744.26171875,21.637985229492188,14.32075947523117,0.0
73,17650.619140625,8.00356010849726e-15,17629.021484375,21.598344802856445,14.27743285894394,0.0
74,17528.740234375,9.927333715004701e-15,17507.181640625,21.55885124206543,14.231471717357635,0.0
75,17404.83984375,3.902880487327218e-15,17383.3203125,21.519500732421875,14.184582233428955,0.0
76,17292.154296875,7.31843073284704e-15,17270.673828125,21.48029327392578,14.141793549060822,0.0
77,17183.62890625,7.533935396386322e-15,17162.1875,21.44123077392578,14.10045325756073,0.0
78,17067.451171875,9.061887965542987e-15,17046.048828125,21.402307510375977,14.056052267551422,0.0
79,16945.30078125,5.081351921127969e-15,16923.9375,21.363525390625,14.009204506874084,0.0
80,16828.25390625,4.312655121934588e-15,16806.9296875,21.32488441467285,13.964155316352844,0.0
81,16717.654296875,4.756165384765202e-15,16696.3671875,21.2863826751709,13.9214426279068,0.0
82,16603.9609375,7.624235884827208e-15,16582.712890625,21.24802017211914,13.877388834953308,0.0
83,16487.513671875,4.9714604076500375e-15,16466.3046875,21.209794998168945,13.832110166549683,0.0
84,16376.583984375,8.647312771707053e-15,16355.412109375,21.171709060668945,13.788828253746033,0.0
85,16267.6650390625,4.888211468495043e-15,16246.53125,21.133756637573242,13.746188580989838,0.0
86,16154.9140625,2.8840256361729617e-15,16133.818359375,21.0959415435791,13.701897859573364,0.0
87,16043.9736328125,1.1243759287342392e-14,16022.9150390625,21.058263778686523,13.65816593170166,0.0
88,15936.2294921875,8.381047964737664e-15,15915.208984375,21.020715713500977,13.615550100803375,0.0
89,15827.5654296875,6.125385250155832e-15,15806.58203125,20.983304977416992,13.572423160076141,0.0
90,15720.0810546875,8.55653625074981e-15,15699.134765625,20.946025848388672,13.529619574546814,0.0
91,15613.767578125,2.4097470709399244e-14,15592.8583984375,20.908878326416016,13.487136363983154,0.0
92,15507.1181640625,5.906327706919293e-15,15486.24609375,20.871862411499023,13.44437450170517,0.0
93,15401.3115234375,1.0557861652809013e-14,15380.4765625,20.834980010986328,13.401804864406586,0.0
94,15296.486328125,6.4181266129904966e-15,15275.6884765625,20.7982234954834,13.359485566616058,0.0
95,15193.1298828125,4.3802818089268974e-15,15172.3681640625,20.761598587036133,13.317616283893585,0.0
96,15089.994140625,1.8494474818254135e-14,15069.2685546875,20.7251033782959,13.275694847106934,0.0
97,14987.2900390625,1.186757279497382e-14,14966.6015625,20.68873405456543,13.233806192874908,0.0
98,14885.31640625,2.558157873562366e-15,14864.6640625,20.652494430541992,13.1920725107193,0.0
99,14782.984375,5.5655083304820014e-15,14762.3681640625,20.61638069152832,13.15004825592041,0.0
100,14681.87109375,8.377791123055471e-15,14661.291015625,20.580392837524414,13.108381628990173,0.0
101,14581.6357421875,8.120620908840751e-15,14561.0908203125,20.54452896118164,13.066934049129486,0.0
102,14482.2578125,1.7354261745098493e-14,14461.7490234375,20.508792877197266,13.02570104598999,0.0
