epoch,A,B,R0,alpha
1,1.0426318645477295,1.3000688552856445,1.2802356481552124,40.19291305541992
2,1.0426318645477295,1.302252173423767,1.277479648590088,40.277732849121094
3,1.0426318645477295,1.304437279701233,1.27472984790802,40.362548828125
4,1.0426318645477295,1.306624174118042,1.2719863653182983,40.44736862182617
5,1.0426318645477295,1.3088128566741943,1.2692493200302124,40.532188415527344
6,1.0426318645477295,1.3110032081604004,1.266518473625183,40.61700439453125
7,1.0426318645477295,1.3131954669952393,1.2637938261032104,40.70182418823242
8,1.0426318645477295,1.3153895139694214,1.2610753774642944,40.786643981933594
9,1.0426318645477295,1.3168139457702637,1.2591184377670288,40.8714599609375
10,1.0426318645477295,1.3176478147506714,1.257741928100586,40.95627975463867
11,1.0426318645477295,1.318016529083252,1.2568204402923584,41.041099548339844
12,1.0426318645477295,1.3180114030838013,1.2562631368637085,41.12591552734375
13,1.0426318645477295,1.3177008628845215,1.2560030221939087,41.21073532104492
14,1.0426318645477295,1.317137360572815,1.2559884786605835,41.295555114746094
15,1.0426318645477295,1.3163625001907349,1.2561794519424438,41.38037109375
16,1.0426318645477295,1.3154088258743286,1.2565444707870483,41.46519088745117
17,1.0426318645477295,1.3143031597137451,1.2570576667785645,41.550010681152344
18,1.0426318645477295,1.3130674362182617,1.2576980590820312,41.63482666015625
19,1.0426318645477295,1.3117196559906006,1.258448600769043,41.71964645385742
20,1.0426318645477295,1.3102749586105347,1.259294867515564,41.804466247558594
21,1.0426318645477295,1.3092446327209473,1.2597330808639526,41.8892822265625
22,1.0426318645477295,1.308576226234436,1.259813904762268,41.974098205566406
23,1.0426318645477295,1.3082247972488403,1.2595808506011963,42.058921813964844
24,1.0426318645477295,1.308152198791504,1.2590714693069458,42.14373779296875
25,1.0426318645477295,1.3083255290985107,1.258318543434143,42.228553771972656
26,1.0426318645477295,1.3087158203125,1.257351040840149,42.313377380371094
27,1.0426318645477295,1.3092986345291138,1.2561938762664795,42.398193359375
28,1.0426318645477295,1.3095871210098267,1.255325198173523,42.483009338378906
29,1.0426318645477295,1.3096140623092651,1.254712462425232,42.56782913208008
30,1.0426318645477295,1.3094083070755005,1.2543268203735352,42.65264892578125
31,1.0426318645477295,1.3089954853057861,1.2541431188583374,42.737464904785156
32,1.0426318645477295,1.308397889137268,1.2541393041610718,42.82228469848633
33,1.0426318645477295,1.3076356649398804,1.2542961835861206,42.9071044921875
34,1.0426318645477295,1.3067265748977661,1.2545961141586304,42.991920471191406
35,1.0426318645477295,1.306136131286621,1.2545818090438843,43.07674026489258
36,1.0426318645477295,1.3058308362960815,1.2542858123779297,43.16156005859375
37,1.0426318645477295,1.3057804107666016,1.2537376880645752,43.246376037597656
38,1.0426318645477295,1.3059583902359009,1.2529637813568115,43.33119583129883
39,1.0426318645477295,1.3063411712646484,1.2521101236343384,43.416015625
40,1.0426318645477295,1.3064625263214111,1.2516224384307861,43.500831604003906
41,1.0426318645477295,1.3063496351242065,1.251462697982788,43.58565139770508
42,1.0426318645477295,1.3060263395309448,1.2515976428985596,43.67047119140625
43,1.0426318645477295,1.3055145740509033,1.2519972324371338,43.755287170410156
44,1.0426318645477295,1.3052756786346436,1.2522001266479492,43.84010696411133
45,1.0426318645477295,1.305281639099121,1.25222647190094,43.9249267578125
46,1.0426318645477295,1.3055076599121094,1.2520943880081177,44.009742736816406
47,1.0426318645477295,1.3059313297271729,1.2518197298049927,44.09456253051758
48,1.0426318645477295,1.306532859802246,1.2514170408248901,44.17938232421875
49,1.0426318645477295,1.3068536520004272,1.2513313293457031,44.264198303222656
50,1.0426318645477295,1.3069220781326294,1.2515305280685425,44.34901809692383
51,1.0426318645477295,1.306763768196106,1.2519853115081787,44.433837890625
52,1.0426318645477295,1.3064016103744507,1.252670168876648,44.518653869628906
53,1.0426318645477295,1.3058561086654663,1.253562331199646,44.60346984863281
54,1.0426318645477295,1.3055850267410278,1.2542091608047485,44.68829345703125
55,1.0426318645477295,1.30556058883667,1.2546347379684448,44.773109436035156
56,1.0426318645477295,1.305757999420166,1.2547414302825928,44.85792541503906
57,1.0426318645477295,1.3061549663543701,1.2545615434646606,44.9427490234375
58,1.0426318645477295,1.3067314624786377,1.2541242837905884,45.027565002441406
59,1.0426318645477295,1.3074696063995361,1.253575325012207,45.11238098144531
60,1.0426318645477295,1.3079146146774292,1.2533563375473022,45.197200775146484
61,1.0426318645477295,1.3080958127975464,1.2534338235855103,45.282020568847656
62,1.0426318645477295,1.308039665222168,1.2537779808044434,45.36683654785156
63,1.0426318645477295,1.3077698945999146,1.2543619871139526,45.451656341552734
64,1.0426318645477295,1.3073080778121948,1.2551621198654175,45.536476135253906
65,1.0426318645477295,1.3071116209030151,1.2556072473526,45.62129211425781
66,1.0426318645477295,1.3071539402008057,1.2557332515716553,45.706111907958984
67,1.0426318645477295,1.3074109554290771,1.2555718421936035,45.790931701660156
68,1.0426318645477295,1.3078614473342896,1.2551522254943848,45.87574768066406
69,1.0426318645477295,1.3080477714538574,1.254930853843689,45.960567474365234
70,1.0426318645477295,1.307996392250061,1.2550060749053955,46.045387268066406
71,1.0426318645477295,1.3077311515808105,1.2553480863571167,46.13020324707031
72,1.0426318645477295,1.307273507118225,1.2558122873306274,46.215023040771484
73,1.0426318645477295,1.307080626487732,1.255955696105957,46.299842834472656
74,1.0426318645477295,1.3071259260177612,1.2558101415634155,46.38465881347656
75,1.0426318645477295,1.3073856830596924,1.2554047107696533,46.469478607177734
76,1.0426318645477295,1.3078384399414062,1.2547656297683716,46.554298400878906
77,1.0426318645477295,1.308026909828186,1.254464864730835,46.63911437988281
78,1.0426318645477295,1.3079776763916016,1.254468321800232,46.723934173583984
79,1.0426318645477295,1.3077144622802734,1.2547457218170166,46.808753967285156
80,1.0426318645477295,1.3072586059570312,1.2552698850631714,46.89356994628906
81,1.0426318645477295,1.3070672750473022,1.255585789680481,46.978389739990234
82,1.0426318645477295,1.3071140050888062,1.255713701248169,47.063209533691406
83,1.0426318645477295,1.3073748350143433,1.255554437637329,47.14802551269531
84,1.0426318645477295,1.3078285455703735,1.255254864692688,47.23284149169922
85,1.0426318645477295,1.3080180883407593,1.255259394645691,47.317665100097656
86,1.0426318645477295,1.3079696893692017,1.255537509918213,47.40248107910156
87,1.0426318645477295,1.3077073097229004,1.2560617923736572,47.48729705810547
88,1.0426318645477295,1.307689905166626,1.2562594413757324,47.572120666503906
89,1.0426318645477295,1.3078932762145996,1.2561630010604858,47.65693664550781
90,1.0426318645477295,1.3078573942184448,1.256232738494873,47.74175262451172
91,1.0426318645477295,1.3080439567565918,1.2560213804244995,47.82657241821289
92,1.0426318645477295,1.307992935180664,1.2559876441955566,47.91139221191406
93,1.0426318645477295,1.3077281713485718,1.256231427192688,47.99620819091797
94,1.0426318645477295,1.3077088594436646,1.2561765909194946,48.08102798461914
95,1.0426318645477295,1.3079102039337158,1.2558530569076538,48.16584777832031
96,1.0426318645477295,1.3078726530075073,1.2558361291885376,48.25066375732422
97,1.0426318645477295,1.3076199293136597,1.2560949325561523,48.33548355102539
98,1.0426318645477295,1.307611346244812,1.2561715841293335,48.42030334472656
99,1.0426318645477295,1.307822585105896,1.2560839653015137,48.50511932373047
100,1.0426318645477295,1.3077936172485352,1.2562793493270874,48.58993911743164
101,1.0426318645477295,1.3079866170883179,1.2562984228134155,48.67475891113281
102,1.0426318645477295,1.3079414367675781,1.256589412689209,48.75957489013672
103,1.0426318645477295,1.308119535446167,1.2565773725509644,48.84439468383789
104,1.0426318645477295,1.3080610036849976,1.2567230463027954,48.92921447753906
